Date,SPX,AMZN,AAPL,SPY,FB,TSLA,MSFT,QQQ,NFLX,JPM,DIS,NVDA,BA,GOOGL,ZM,T,NDX,IWM,GOOG,BAC,BYND,INTC,JNJ
5/28/2020,-55.41%,69.97%,46.51%,-55.45%,51.45%,-94.94%,36.38%,40.87%,-91.91%,-308.43%,-415.42%,88.37%,-419.17%,128.33%,264.14%,-311.43%,12.62%,-360.77%,141.16%,-490.75%,-60.42%,-210.70%,64.64%
5/29/2020,63.27%,108.09%,-40.26%,61.12%,-4.89%,314.35%,28.38%,125.56%,54.08%,-138.73%,94.63%,361.65%,37.71%,92.08%,639.63%,98.75%,120.23%,43.20%,83.97%,-124.38%,478.60%,163.67%,53.11%
6/1/2020,55.78%,93.08%,126.77%,63.16%,315.64%,445.97%,15.86%,70.92%,166.46%,86.21%,127.14%,-30.66%,392.36%,62.73%,1027.19%,55.70%,75.49%,69.17%,93.59%,134.09%,315.81%,-101.84%,-6.79%
6/2/2020,52.34%,21.84%,79.18%,49.66%,76.49%,-149.74%,35.69%,51.35%,33.70%,-136.46%,-21.05%,32.86%,-45.01%,51.30%,-104.29%,-17.10%,56.05%,22.63%,59.76%,-48.31%,-69.53%,67.61%,80.27%
6/3/2020,77.35%,41.96%,13.53%,62.14%,-84.72%,-59.46%,29.13%,19.43%,-118.02%,257.98%,179.24%,-59.29%,927.47%,-25.01%,543.62%,67.28%,15.43%,78.04%,-13.92%,188.53%,-57.36%,-83.97%,8.75%
6/4/2020,2.54%,-68.28%,-64.53%,8.03%,-144.50%,-294.99%,-75.44%,-54.89%,-194.53%,246.15%,140.67%,44.49%,163.86%,-158.37%,-506.30%,129.17%,-44.14%,51.87%,-128.88%,399.55%,189.09%,195.33%,-4.77%
6/5/2020,95.11%,154.65%,246.14%,66.07%,175.93%,88.08%,244.66%,151.45%,293.37%,-332.64%,-119.37%,140.13%,20.93%,169.44%,360.79%,68.74%,154.00%,-45.28%,175.19%,-298.83%,-188.72%,152.32%,-26.48%
6/8/2020,101.47%,94.29%,97.16%,92.20%,102.42%,325.28%,128.48%,83.21%,83.20%,3.53%,171.28%,-81.77%,327.98%,150.55%,261.16%,71.77%,96.78%,48.34%,167.29%,-17.52%,1565.92%,-47.12%,60.64%
6/9/2020,-19.11%,274.53%,344.19%,15.27%,299.58%,6.38%,94.84%,108.51%,285.68%,-9.95%,-140.45%,271.94%,-249.15%,46.83%,-214.18%,-56.86%,106.34%,-39.93%,74.17%,177.18%,-179.28%,7.93%,-156.89%
6/10/2020,-72.45%,9.07%,139.44%,-75.86%,-178.68%,323.38%,290.08%,49.55%,-34.98%,-414.86%,-150.60%,212.45%,-381.50%,21.85%,548.82%,-131.90%,55.75%,-267.48%,42.30%,-515.04%,74.28%,169.09%,81.19%
6/11/2020,-388.76%,-178.26%,-398.90%,-360.93%,-245.51%,-177.30%,-368.28%,-353.39%,-62.04%,-290.09%,-440.34%,-402.46%,-550.00%,-278.17%,130.14%,-342.56%,-332.77%,-379.17%,-274.97%,-438.78%,-257.82%,-564.49%,-547.31%
6/12/2020,-96.81%,-220.83%,-174.73%,-132.47%,-57.75%,-477.95%,-149.14%,-136.09%,-261.44%,-84.11%,27.71%,-257.47%,124.53%,-90.59%,-240.07%,-169.42%,-126.04%,-148.98%,-107.56%,-100.89%,-455.30%,-131.47%,-48.54%
6/15/2020,243.27%,178.81%,284.55%,294.09%,318.71%,737.21%,230.76%,264.29%,96.36%,477.04%,427.06%,391.32%,720.65%,221.00%,467.74%,169.42%,265.68%,546.85%,204.25%,552.68%,740.26%,128.12%,17.70%
6/16/2020,-19.99%,-18.35%,17.04%,-80.52%,-63.23%,-302.38%,35.13%,-38.30%,237.77%,-324.32%,-236.41%,-172.01%,-474.29%,-17.98%,270.86%,-206.63%,-34.45%,-159.99%,-16.63%,-147.29%,-300.12%,-180.46%,25.61%
6/17/2020,-72.19%,-24.99%,-101.25%,-77.33%,22.50%,40.83%,-40.67%,-32.02%,132.88%,-306.59%,-84.15%,132.09%,-102.84%,-2.75%,-271.16%,-170.75%,-16.41%,-198.91%,27.56%,-360.00%,23.03%,-41.33%,-61.10%
6/18/2020,44.17%,26.38%,9.10%,56.77%,40.26%,8.96%,118.17%,40.53%,25.34%,27.29%,125.88%,-9.76%,210.62%,-108.77%,48.85%,91.70%,39.65%,95.26%,-91.92%,135.78%,59.42%,-44.94%,62.06%
6/19/2020,-135.50%,-11.21%,-140.68%,-179.17%,41.88%,-118.39%,-176.27%,-102.36%,101.38%,-278.09%,-492.35%,19.44%,-581.76%,-108.10%,75.57%,-126.80%,-95.91%,-243.28%,-85.21%,-75.25%,-121.30%,-172.76%,-136.27%
6/22/2020,75.75%,107.60%,209.54%,84.67%,27.59%,-55.82%,238.32%,120.37%,278.40%,-51.68%,149.24%,238.27%,210.06%,176.48%,151.23%,-26.41%,119.77%,151.69%,157.05%,-109.67%,-110.25%,59.91%,-5.58%
6/23/2020,-23.61%,138.91%,68.75%,-46.15%,39.63%,29.94%,-8.91%,18.08%,-5.15%,-106.20%,-31.74%,-106.88%,-75.58%,81.97%,61.31%,-17.52%,17.04%,-92.31%,60.09%,-88.75%,-433.93%,-45.06%,-61.60%
